itemCollection_faction_Liao,,,
itemCollection_systemStores_Mechs_Liao_Light,Reference,2,10
itemCollection_systemStores_Mechs_Liao_Medium,Reference,2,10
itemCollection_systemStores_Mechs_Liao_Heavy,Reference,1,10
itemCollection_systemStores_Mechs_Liao_Assault,Reference,1,10
itemCollection_systemStores_MechParts_Liao_Light,Reference,1,10
itemCollection_systemStores_MechParts_Liao_Medium,Reference,1,10
itemCollection_systemStores_MechParts_Liao_Heavy,Reference,1,10
itemCollection_systemStores_MechParts_Liao_Assault,Reference,1,10
itemCollection_systemStores_Weapons_Liao_Rare,Reference,0,10
itemCollection_systemStores_Weapons_Liao_General,Reference,4,10
