itemCollection_HM_careerStarter_pack_Mechs,,,
mechdef_firebee_FRB-2E,Mechpart,1,5
mechdef_firestarter_FS9-A,Mechpart,1,5
mechdef_firestarter_FS9-H,Mechpart,1,5
mechdef_firestarter_FS9-H-RV,Mechpart,1,5
mechdef_firestarter_FS9-K,Mechpart,1,5
mechdef_jenner_JR7-A,Mechpart,1,5
mechdef_jenner_JR7-D,Mechpart,1,5
mechdef_jenner_JR7-D-RV,Mechpart,1,5
mechdef_jenner_JR7-F,Mechpart,1,5
mechdef_panther_PNT-9ALAG,Mechpart,1,5
mechdef_panther_PNT-9R,Mechpart,1,5
mechdef_raven_RVN-1X,Mechpart,1,5
mechdef_wolfhound_WLF-1,Mechpart,1,5
mechdef_wolfhound_WLF-1A,Mechpart,1,5
mechdef_wolfhound_WLF-1B,Mechpart,1,5
mechdef_wolfhound_WLF-1B-RV,Mechpart,1,5
mechdef_assassin_ASN-101,Mechpart,1,4
mechdef_assassin_ASN-21,Mechpart,1,4
mechdef_assassin_ASN-21-RV,Mechpart,1,4
mechdef_assassin_ASN-SB,Mechpart,1,4
mechdef_cicada_CDA-2A-RV,Mechpart,1,4
mechdef_clint_CLNT-1-2R,Mechpart,1,4
mechdef_clint_CLNT-2-3T,Mechpart,1,4
mechdef_clint_CLNT-2-4T,Mechpart,1,4
mechdef_icarus2_ICR-1S,Mechpart,1,4
mechdef_vulcan_VT-2T,Mechpart,1,4
mechdef_vulcan_VT-5T-RV,Mechpart,1,4
mechdef_vulcan_VT-5S,Mechpart,1,4
mechdef_blackjack_BJ-1,Mechpart,1,3
mechdef_blackjack_BJ-1DC,Mechpart,1,3
mechdef_blackjack_BJ-1X,Mechpart,1,3
mechdef_hatchetman_HCT-3F,Mechpart,1,3
mechdef_hatchetman_HCT-3F-RV,Mechpart,1,3
mechdef_hatchetman_HCT-3X-RV,Mechpart,1,3
mechdef_hatchetman_HCT-5S,Mechpart,1,3
mechdef_hatchetman_HCT-3F-RV,Mechpart,1,3
mechdef_phoenixhawk_PXH-1,Mechpart,1,3
mechdef_phoenixhawk_PXH-1D,Mechpart,1,3
mechdef_phoenixhawk_PXH-1RV,Mechpart,1,3
mechdef_vindicator_VND-1R,Mechpart,1,3
mechdef_vindicator_VND-1SIC,Mechpart,1,3
mechdef_vindicator_VND-1X,Mechpart,1,3
mechdef_vindicator_VND-1AA,Mechpart,1,3
mechdef_centurion_CN9-A,Mechpart,1,2
mechdef_centurion_CN9-AH,Mechpart,1,2
mechdef_centurion_CN9-AL,Mechpart,1,2
mechdef_crab_CRB-20,Mechpart,1,2
mechdef_enforcer_ENF-4R,Mechpart,1,2
mechdef_enforcer_ENF-4R-RV,Mechpart,1,2
mechdef_hunchback_HBK-4G,Mechpart,1,2
mechdef_hunchback_HBK-4H,Mechpart,1,2
mechdef_hunchback_HBK-4J,Mechpart,1,2
mechdef_hunchback_HBK-4N,Mechpart,1,2
mechdef_hunchback_HBK-4P,Mechpart,1,2
mechdef_hunchback_HBK-4SP,Mechpart,1,2
mechdef_trebuchet_TBT-5J,Mechpart,1,2
mechdef_trebuchet_TBT-5N,Mechpart,1,2
mechdef_dervish_DV-6M,Mechpart,1,1
mechdef_gladiator_GLD-4R,Mechpart,1,1
mechdef_griffin_GRF-1N,Mechpart,1,1
mechdef_griffin_GRF-1S,Mechpart,1,1
mechdef_kintaro_KTO-18,Mechpart,1,1
mechdef_kintaro_KTO-19,Mechpart,1,1
mechdef_shadowhawk_SHD-2D,Mechpart,1,1
mechdef_shadowhawk_SHD-2D2,Mechpart,1,1
mechdef_shadowhawk_SHD-2D-RV,Mechpart,1,1
mechdef_shadowhawk_SHD-2H,Mechpart,1,1
mechdef_wolverine_WVR-6D,Mechpart,1,1
mechdef_wolverine_WVR-6K,Mechpart,1,1
mechdef_wolverine_WVR-6D-RV,Mechpart,1,1
mechdef_wolverine_WVR-6M,Mechpart,1,1
mechdef_wolverine_WVR-6R,Mechpart,1,1
mechdef_wolverine_WVR-6T,Mechpart,1,1
